year,hud_name,code,total_units,pct_occupied,zip,address
2015,OCEAN BAY (BAYSIDE),NY005010980,1806,97.0,11691,441 Beach 51st St
2015,SAMUEL GOMPERS,NY005011000,1504,99.0,10002,100 Pitt St
2015,GOUVERNEUR MORRIS I,NY005011020,1885,99.0,10456,1465 Washington Ave Apt
2015,PS 139 RENAISSANCE,NY005011110,125,95.0,10030,120 W 140th St
2015,RICHMOND TERRACE,NY005011170,867,99.0,10301,145 Cassidy Pl
2015,"W.S.U.R. SITES A, B & C",NY005011270,978,98.0,10025,201 W 93rd St
2015,TOMPKINS,NY005011310,1195,99.0,11206,760 Park Ave
2015,1010 E. 178TH ST.,NY005011330,218,100.0,10460,1010 E 178th St
2015,J.L. ELLIOT,NY005011340,685,100.0,10001,288 10th Ave
2015,ELEANOR ROOSEVELT I,NY005011350,1102,99.0,11206,109 Lewis Ave
2015,BOSTON-SECOR,NY005011380,538,99.0,10475,3555 Bivona St
2015,STANLEY ISAACS,NY005011390,1322,99.0,10128,405 E 92nd St
2015,DANIEL WEBSTER,NY005011410,811,99.0,10456,1260 Webster Ave Apt
2015,JOHN P. MITCHEL,NY005011450,1825,99.0,10454,225 Willis Ave
2015,NATHAN STRAUS,NY005011530,267,99.0,10016,224 E 28th St
2015,OCEAN HILL APTS,NY005011620,361,99.0,11233,33 Saratoga Ave
2015,WYCKOFF GARDENS,NY005011630,1026,99.0,11238,487 Carlton Ave Apt
2015,GERALD J.CAREY GARDENS,NY005011660,1255,99.0,11224,2946 W 23rd St
2015,WILLIAM REID APTS,NY005011670,801,99.0,11203,728 E New York Ave
2015,LANGSTON HUGHES APTS,NY005011680,1027,99.0,11212,393 Powell St
2015,SETH LOW,NY005011690,976,99.0,11212,157 Belmont Ave
2015,SURFSIDE GARDENS,NY005011700,1505,99.0,11224,2926 W 25th St
2015,GRAVESEND,NY005011720,1331,98.0,11224,2950 W 35th St
2015,LEWIS H. LATIMER GARDENS,NY005011860,919,99.0,11354,3425 Linden Pl Apt
2015,PENNSYLVANIA/WORTMAN AVES,NY005011940,623,100.0,11207,875 Pennsylvania Ave
2015,FT INDEPENDENCE/HEATH AVE,NY005012020,575,98.0,10463,3340 Bailey Ave
2015,FHA REPOSSESSED HOUSES V,NY005012090,294,54.0,11208,305 Atkins Ave
2015,LOUIS ARMSTRONG I,NY005012100,616,99.0,11216,385 Lexington Ave
2015,DR. RAMON E. BETANCES I,NY005012110,917,98.0,10454,400 Brook Ave
2015,STUYVESANT GARDENS I,NY005012210,479,98.0,11221,150 Malcolm X Blvd
2015,TWIN PARKS WEST SITES 1&2,NY005012270,769,98.0,10458,365 E 183rd St
2015,TAYLOR ST/WYTHE AVE,NY005012340,525,99.0,11249,626 Wythe Pl
2015,U.P.A.C.A. URA (SITE 5),NY005012410,706,98.0,10035,110 E 129th St Apt
2015,BORINQUEN PLAZA STAGE I,NY005012430,934,99.0,11206,60 Moore St
2015,HOPE GARDENS,NY005012470,1314,100.0,11221,330 Wilson Ave
2015,MARCUS GARVEY (GROUP A),NY005012520,520,99.0,11212,10 Amboy St
2015,PEDRO A. CAMPOS PLAZA II,NY005012570,224,100.0,10009,612 E 14th St
2015,UNITY PLAZA SITES 4-27,NY005012610,1015,99.0,11207,390 Georgia Ave
2015,ANDREW JACKSON,NY005012670,1709,100.0,10451,3135 Park Ave
2015,SACK-WERN HOUSES,NY005012800,811,100.0,10473,710 Croes Ave
2015,LOWER EAST SIDE II,NY005012920,474,99.0,10009,251 E 3rd St
2015,CLAREMONT GROUP IV,NY005013080,740,98.0,10456,1020 College Ave
2015,FT WASHINGTON AVE REHAB,NY005013090,592,99.0,10032,99 Fort Washington Ave
2015,TAFT REHAB 201-203 W. 117,NY005013170,341,83.0,10026,203 W 117th St
2015,UNIVERSITY AVE REHAB,NY005013410,413,97.0,10453,1925 University Ave
2015,UNION AVE/E 163RD SITE 5,NY005013420,909,98.0,10459,950 Union Ave
2015,HOWARD AVE/PARK PLACE,NY005013510,891,99.0,11233,2041 Pacific St Apt
2015,LOWER EAST SIDE III,NY005013590,182,93.0,10024,154 W 84th St
2015,WEST FARMS ROAD,NY005015300,830,96.0,10459,1317 W Farms Rd
2015,HIGHBRDGE REHAB/ANDERSON AVE,NY005015310,355,94.0,10452,1085 Anderson Ave
2015,BOULEVARD,NY005020460,1148,93.0,11207,830 Ashford St
2015,MARBLE HILL,NY005020490,1470,99.0,10463,210 W 230th St
2015,CASTLE HILL,NY005020800,1708,100.0,10473,535 Havemeyer Ave
2015,MANHATTANVILLE,NY005020810,1083,99.0,10027,1430 Amsterdam Ave
2015,MARLBORO,NY005020830,1476,99.0,11223,29 Avenue W
2015,BUSHWICK,NY005020860,1038,99.0,11206,24 Humboldt St
2015,BAY VIEW,NY005020920,1303,99.0,11236,5995 Shore Pkwy
2015,SAINT MARY'S PARK,NY005020930,821,99.0,10455,550 Cauldwell Ave
2015,LINDEN,NY005020950,1235,96.0,11207,215 Cozine Ave
2015,RUTGERS,NY005020990,630,99.0,10002,160 Madison St
2015,DREW HAMILTON,NY005021110,972,99.0,10030,200 W 143rd St
2015,STAPLETON,NY005021140,599,99.0,10304,27 Warren St
2015,BAYCHESTER,NY005021260,342,92.0,10466,1900 Schieffelin Ave
2015,WISE TOWERS,NY005021270,324,97.0,10024,136 W 91st St
2015,WILLIAMS PLAZA,NY005021280,513,97.0,11211,255 Havemeyer St Apt
2015,MURPHY,NY005021330,184,96.0,10457,1805 Crotona Ave
2015,CHELSEA,NY005021340,368,99.0,10001,415 W 25th St
2015,INDEPENDENCE,NY005021400,650,97.0,11249,130 Clymer St Apt
2015,344 EAST 28TH ST,NY005021850,177,93.0,10016,344 E 28th St
2015,AMSTERDAM ADDITION,NY005021870,152,100.0,10023,240 W 65th St
2015,FREDERICK SAMUEL (CITY),NY005023770,576,99.0,10030,2441 A C Powell Blvd
2015,MOXEY A RIGBY,NY023000001,100,99.0,11520,25 Buffalo Ave
2015,REV. MADDEN SR. CTZ. APTS,NY023000002,150,100.0,11520,240 S Main St
2015,DR E MITCHELL MALLETTE,NY023000003,100,99.0,11520,100 N Main St
2015,GREEN ACRES,NY046000002,120,98.0,11581,400 Flower Rd Apt 1A
2015,PARK GARDENS,NY046000003,170,98.0,11575,2 Babylon Tpke Apt 1
2015,INWOOD GARDENS,NY046000004,95,98.0,11096,82 Saint George Pl
2015,MEADOWBROOK GARDENS,NY046000005,158,98.0,11510,1810 Grand Ave Apt 1A
2015,MILL RIVER GARDENS,NY046000006,106,97.0,11572,2900 Rockaway Ave Apt 1A
2015,WESTOVER GARDENS,NY046000008,130,97.0,11003,132 Elmont Rd
2015,DOGWOOD TERRACE,NY046000009,104,99.0,11010,1170 Martha Pl Apt 1
2015,SALISBURY GDNS,NY046000011,100,98.0,11590,460 Salisbury Park Dr Apt 1A
2015,CHANNEL PARK HOMES,NY050001001,108,99.0,11561,500 Centre St
2015,SOL SCHER APTS,NY050002001,266,98.0,11561,225 W Park Ave
2015,DALY and KENNEDY HGTS HOME,NY069000001,209,96.0,11542,8 Mason Dr
2015,TOTTEN TOWERS,NY085000001,105,97.0,11550,20 Totten St
2015,GEN D MACARTHUR SR,NY085000002,176,97.0,11550,260 Clinton St
2015,MANHASSET VALLEY RES,NY086000001,187,99.0,11030,155 E Shore Rd
2015,ROCKVILLE MANOR,NY100000001,50,98.0,11570,579 Merrick Rd
2015,GREAT NECK SNR CZNS HSG,NY144000001,75,97.0,11023,700 Middle Neck Rd
2016,WILLIAMSBURG,NY005000020,1620,99.0,11206,125 Ten Eyck St
2016,RED HOOK I (EAST),NY005000040,1404,99.0,11231,624 Clinton St
2016,INGERSOLL,NY005000140,1803,94.0,11205,25 Monument Walk
2016,BROWNSVILLE,NY005000160,1322,99.0,11212,275 Blake Ave
2016,J.W. JOHNSON,NY005000170,1297,99.0,10029,1829 Lexington Ave
2016,LINCOLN,NY005000200,1281,98.0,10037,60 E 135th St
2016,MARCY,NY005000210,1706,99.0,11206,542 Marcy Ave
2016,WALD,NY005000230,1859,99.0,10009,30 Avenue D
2016,LESTER W. PATTERSON,NY005000240,1787,99.0,10451,281 E 143rd St
2016,GOWANUS,NY005000250,1134,99.0,11217,417 Baltic St
2016,GOVERNOR SMITH,NY005000270,1931,99.0,10038,180 South St
2016,FARRAGUT,NY005000290,1389,99.0,11201,237 Nassau St
2016,WOODSIDE,NY005000330,1356,100.0,11377,5030 Broadway
2016,RALPH J. RANGEL,NY005000370,983,99.0,10039,159-44 Harlem River Dr
2016,ST NICHOLAS,NY005000380,1522,99.0,10027,230 W 129th St
2016,DYCKMAN,NY005000410,1167,99.0,10034,3716 10th Ave
2016,GLENWOOD,NY005000440,1187,99.0,11234,937 E 56th St
2016,GEN. CHARLES W. BERRY,NY005000520,1008,99.0,10306,1754 Richmond Rd
2016,POMONOK,NY005000530,2069,99.0,11367,6733 Kissena Blvd
2016,REDFERN,NY005000550,603,93.0,11691,1302 Redfern Ave
2016,BREUKELEN,NY005000560,1594,99.0,11236,757 E 103rd St
2016,EDENWALD,NY005000570,2033,99.0,10466,1151 E 229th St
2016,CARVER,NY005000580,1246,99.0,10029,65 E 99th St
2016,FOREST,NY005000590,2031,99.0,10456,750 E 163rd St
2016,VAN DYKE I,NY005000610,1598,99.0,11212,414 Sutter Ave
2016,BREVOORT,NY005000650,894,99.0,11233,1839 Fulton St
2016,COOPER PARK,NY005000690,699,100.0,11211,401 Morgan Ave
2016,SOUNDVIEW,NY005000710,1257,99.0,10473,1704 Seward Ave
2016,HOWARD,NY005000720,1812,99.0,11212,275 Livonia Ave
2016,MARINERS HARBOR,NY005000770,606,98.0,10303,20 Roxbury St
2016,HIGHBRIDGE GARDENS,NY005000780,699,99.0,10452,1075 University Ave
2016,RED HOOK II,NY005000790,1460,99.0,11231,82 Dwight St
2016,GENERAL GRANT,NY005000870,1940,99.0,10027,3170 Broadway
2016,JAMES MONROE,NY005000880,1101,99.0,10473,1785 Story Ave
2016,LOUIS HEATON PINK,NY005000890,1500,98.0,11208,1209 Loring Ave
2016,HERBERT H. LEHMAN VILLAGE,NY005001010,617,99.0,10029,80 E 110th St
2016,BUTLER,NY005001130,1476,99.0,10456,1348 Webster Ave
2016,JOHN ADAMS,NY005001180,925,99.0,10455,680 Tinton Ave
2016,MOTT HAVEN,NY005001210,992,100.0,10454,383 E 141st St Apt
2016,LAFAYETTE,NY005001220,880,99.0,11205,456 Dekalb Ave
2016,DE WITT CLINTON,NY005001230,748,98.0,10029,1760 Lexington Ave
2016,ROBERT FULTON,NY005001360,944,99.0,10011,418 W 17th St
2016,POLO GROUNDS TOWERS,NY005001490,1614,98.0,10039,2931 8th Ave
2016,BCH.41 ST/BCH. CHANNEL DR,NY005001650,712,99.0,11691,438 Beach 40th St
2016,FOREST HILLS CO-OP,NY005002000,430,99.0,11375,10853 62nd Dr
2016,WHITMAN,NY005005140,1631,99.0,11205,117 N Oxford Walk
2016,HARLEM RIVER,NY005010030,1261,97.0,10032,1945 Amsterdam Ave
2016,VLADECK,NY005010060,1762,100.0,10002,622 Water St
2016,SOUTH JAMAICA II,NY005010080,1038,99.0,11433,10616 159th St
2016,EAST RIVER,NY005010090,2072,99.0,10029,2029 2nd Ave
2016,KINGSBOROUGH,NY005010100,1336,99.0,11233,447 Kingsborough 4th Walk
2016,WEST BRIGHTON I & II,NY005010130,632,89.0,10310,820 Henderson Ave
2016,JACOB RIIS,NY005010180,1762,99.0,10009,1141 FDR Dr
2016,AMSTERDAM,NY005010220,1457,99.0,10019,530 W 55th St
2016,MELROSE,NY005010280,1241,99.0,10451,320 E 156th St
2016,KING TOWERS,NY005010300,1553,90.0,10026,1370 5th Ave
2016,ALBANY I & II,NY005010310,1476,98.0,11213,1191 Park Pl
2016,BRONX RIVER & ADDITION,NY005010320,1552,99.0,10472,1350 Manor Ave
2016,EASTCHESTER GARDENS,NY005010340,1054,99.0,10461,3033 Middletown Rd
2016,SOUTH BEACH,NY005010350,697,99.0,10305,70 New Ln
2016,NOSTRAND,NY005010360,2201,99.0,11229,2263 Batchelder St
2016,PELHAM PARKWAY,NY005010390,1498,98.0,10467,2440 Boston Rd
2016,SEDGEWICK,NY005010450,931,99.0,10453,228 W Tremont Ave
2016,BELMONT SUTTER AREA,NY005010460,72,99.0,11207,455 Barbey St
2016,PARKSIDE,NY005010470,1610,99.0,10467,712 E Gun Hill Rd
2016,BARUCH,NY005010600,2391,99.0,10002,72 Columbia St Apt
2016,GEORGE WASHINGTON,NY005010620,1958,99.0,10029,110 E 99th St
2016,THROGGS NECK,NY005010630,1720,99.0,10465,560 Balcom Ave
2016,JEFFERSON,NY005010640,1725,99.0,10035,306 E 117th St
2016,JUSTICE SONIA SOTOMAYOR HOUSES,NY005010670,1723,99.0,10462,2125 Glebe Ave
2016,CYPRESS HILLS,NY005010700,1507,99.0,11208,1230 Sutter Ave
2016,SUMNER,NY005010730,1416,99.0,11206,303 Vernon Ave
2016,SEN. ROBERT F. WAGNER SR.,NY005010740,2154,99.0,10035,20 Paladino Ave
2016,HAMMEL,NY005010750,879,98.0,11692,7115 Beach Channel Dr
2016,LA GUARDIA,NY005010760,1491,99.0,10002,286 South St
2016,MANHATTANVILLE GROUP III,NY005010810,97,97.0,10027,529 W 133rd St
2016,FREDERICK DOUGLASS & ADD.,NY005010820,2349,99.0,10025,870 Columbus Ave
2016,MILL BROOK & EXTENSION,NY005010840,1450,99.0,10454,600 E 137th St
2016,HYLAN,NY005010860,209,98.0,11206,131 Moore St
2016,BAISLEY PARK,NY005010910,894,97.0,11433,9233 170th St
2016,E.R. MOORE,NY005010930,463,99.0,10455,525 Jackson Ave
2016,SEN. ROBERT A. TAFT,NY005010970,1562,99.0,10029,1365 5th Ave
2016,OCEAN BAY (BAYSIDE),NY005010980,1806,,11691,441 Beach 51st St
2016,SAMUEL GOMPERS,NY005011000,1504,99.0,10002,100 Pitt St
