year,name,hud_code,pha_entity,address,city,zip,latitude,longitude,total_units,pct_occupied,people_per_unit,people_total,pct_reported,months_since_report,pct_movein,months_from_movein,months_waiting,hh_income,rent_per_month,pct_lt30_median,pct_female_head,pct_female_head_child,pct_disabled_all,pct_age62plus,pct_minority,pct_black_nonhsp,pct_hispanic,pct_overhoused
2015,EDENWALD,NY005000570,NY New York NY005000570 EDENWALD,1151 E 229th St,Bronx,10466,40.886518,,2033.0,99.0,2.5,4931.0,99.0,4.0,4.0,221.0,,24310.0,540.0,61.0,83.0,38.0,20.0,27.0,99.0,46.0,52.0,32.0
2015,CARVER,NY005000580,NY New York NY005000580 CARVER,65 E 99th St,New York,10029,40.788769,,1247.0,99.0,2.1,2639.0,100.0,4.0,3.0,264.0,,24505.0,533.0,60.0,77.0,27.0,24.0,37.0,97.0,34.0,58.0,36.0
2015,FOREST,NY005000590,NY New York NY005000590 FOREST,750 E 163rd St,Bronx,10456,40.822649,,2031.0,99.0,2.4,4749.0,99.0,5.0,3.0,226.0,,20411.0,465.0,69.0,81.0,34.0,20.0,33.0,99.0,37.0,62.0,28.0
2015,VAN DYKE I,NY005000610,NY New York NY005000610 VAN DYKE I,414 Sutter Ave,Brooklyn,11212,40.667951,,1598.0,99.0,2.5,3964.0,100.0,4.0,5.0,200.0,,21639.0,480.0,66.0,85.0,42.0,18.0,23.0,99.0,70.0,29.0,24.0
2015,BREVOORT,NY005000650,NY New York NY005000650 BREVOORT,1839 Fulton St,Brooklyn,11233,40.679268,,894.0,99.0,2.2,1852.0,95.0,7.0,2.0,277.0,,23816.0,519.0,61.0,82.0,32.0,19.0,35.0,100.0,86.0,13.0,33.0
2015,COOPER PARK,NY005000690,NY New York NY005000690 COOPER PARK,401 Morgan Ave,Brooklyn,11211,40.717712,,699.0,99.0,2.3,1568.0,100.0,5.0,3.0,256.0,,23023.0,506.0,63.0,83.0,32.0,22.0,34.0,97.0,48.0,48.0,32.0
2015,SOUNDVIEW,NY005000710,NY New York NY005000710 SOUNDVIEW,1704 Seward Ave,Bronx,10473,40.818568,,1257.0,99.0,2.4,2983.0,99.0,5.0,3.0,217.0,,20401.0,464.0,69.0,80.0,35.0,24.0,31.0,99.0,38.0,61.0,31.0
2015,HOWARD,NY005000720,NY New York NY005000720 HOWARD,275 Livonia Ave,Brooklyn,11212,40.663059,,1812.0,100.0,2.5,4505.0,100.0,5.0,4.0,206.0,,21315.0,479.0,67.0,84.0,40.0,19.0,27.0,98.0,74.0,23.0,24.0
2015,MARINERS HARBOR,NY005000770,NY New York NY005000770 MARINERS HARBOR,20 Roxbury St,Staten Island,10303,40.633355,,606.0,99.0,2.6,1580.0,100.0,4.0,5.0,166.0,,22087.0,487.0,66.0,85.0,46.0,17.0,16.0,91.0,60.0,30.0,19.0
2015,HIGHBRIDGE GARDENS,NY005000780,NY New York NY005000780 HIGHBRIDGE GARDENS,1075 University Ave,Bronx,10452,40.835959,,698.0,99.0,2.4,1636.0,100.0,4.0,4.0,223.0,,23021.0,504.0,64.0,82.0,32.0,20.0,34.0,99.0,38.0,61.0,28.0
