bbl,executed_date
5001960001,2019-05-31
3030270001,2019-06-05
4160020001,2019-06-07
2022690100,2019-06-13
2049050001,2019-06-13
4160020001,2019-06-14
5001960001,2019-06-28
5001960001,2019-06-28
5001960001,2019-06-28
4160010002,2019-07-01
4160010002,2019-07-01
3030270001,2019-07-02
3048530086,2019-07-10
4160010002,2019-07-12
4160020001,2019-07-12
1020090064,2019-07-15
2045810001,2019-07-16
2049050001,2019-07-17
3050840097,2019-07-24
3050830071,2019-07-29
3030250046,2019-07-31
3030250046,2019-07-31
3083290225,2019-08-02
3083290225,2019-08-02
3050840097,2019-08-05
2049050001,2019-08-13
2049050001,2019-08-13
3083290225,2019-08-26
1020090044,2019-08-27
1019840001,2019-08-27
3015290001,2019-09-19
2052630070,2019-09-27
1019840001,2019-10-01
2026200036,2019-10-01
3083290225,2019-10-04
3083290225,2019-10-04
2049050001,2019-10-16
4160010002,2019-10-16
2026200036,2019-10-18
3050850090,2019-10-25
3050840061,2019-10-25
1019840001,2019-10-29
1019840001,2019-10-31
3083290225,2019-11-01
2049050001,2019-11-07
2049050001,2019-11-07
5001960001,2019-11-08
2045810001,2019-11-13
2045810001,2019-11-13
1019840001,2019-11-14
1020110013,2019-11-19
5001960001,2019-11-22
2022690100,2019-11-26
2045810001,2019-12-03
3048680034,2019-12-04
5001960001,2019-12-06
5001960001,2019-12-06
3015290001,2020-01-06
4160020001,2020-01-13
2045810001,2020-01-15
2045810001,2020-01-15
2045810001,2020-01-15
2022690100,2020-01-28
2031300100,2020-02-11
3050830071,2020-02-19
4160010002,2020-02-19
2049050360,2020-03-03
1019840001,2020-03-05
3050880006,2020-03-06
5001960001,2020-03-06
3043690001,2020-03-11
4160020001,2022-03-11
3033340001,2022-04-19
3050880006,2022-09-29
2022690100,2022-11-04
2031430155,2022-11-29
3033300019,2022-11-30
3033410001,2022-12-01
3050850083,2022-12-02
4160010002,2022-12-06
4160010002,2022-12-06
4160020001,2023-01-05
3031700026,2023-02-06
4160020001,2023-02-15
4160010002,2023-02-15
4160010002,2023-03-10
3004010001,2023-03-22
3050850083,2023-03-24
3050840084,2023-03-24
